city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
三明,58.0,31.0,63.0,0.95,16.0,72.0,24.0,7.0
商洛,44.0,8.0,43.0,0.35,7.0,111.0,52.0,4.0
上饶,52.0,35.0,52.0,0.57,11.0,109.0,41.0,11.0
山南,31.0,4.0,6.0,0.4,11.0,62.0,60.0,2.0
山南地区,40.0,5.0,21.0,0.45,6.0,65.0,79.0,4.0
衢州,37.0,25.0,36.0,0.77,11.0,109.0,43.0,7.0
汕头,32.0,20.0,31.0,0.7,10.0,93.0,62.0,7.0
韶关,55.0,34.0,58.0,1.12,16.0,103.0,33.0,13.0
绍兴,68.0,28.0,84.0,0.62,4.0,106.0,52.0,4.0
邵阳,57.0,35.0,62.0,0.68,18.0,71.0,28.0,34.0
商丘,188.0,141.0,140.0,1.27,30.0,34.0,32.0,9.0
南昌,57.0,29.0,62.0,0.56,16.0,134.0,69.0,9.0
汕尾,30.0,11.0,29.0,0.57,10.0,92.0,58.0,7.0
石家庄,43.0,18.0,42.0,0.78,19.0,84.0,44.0,12.0
十堰,43.0,18.0,42.0,0.6,12.0,84.0,36.0,7.0
石嘴山,63.0,31.0,73.0,1.63,22.0,113.0,48.0,63.0
双鸭山,12.0,7.0,11.0,0.4,3.0,19.0,11.0,4.0
沈阳,17.0,4.0,8.0,0.5,13.0,31.0,32.0,6.0
四平,22.0,15.0,17.0,0.33,9.0,50.0,20.0,6.0
深圳,37.0,19.0,36.0,0.65,21.0,59.0,48.0,4.0
遂宁,62.0,33.0,71.0,0.6,25.0,107.0,28.0,10.0
石河子,86.0,31.0,119.0,0.6,42.0,58.0,49.0,11.0
朔州,31.0,3.0,21.0,0.62,8.0,94.0,61.0,5.0
随州,37.0,15.0,31.0,0.83,11.0,115.0,64.0,6.0
宿迁,27.0,17.0,26.0,0.65,17.0,34.0,40.0,6.0
宿州,25.0,2.0,13.0,0.33,4.0,43.0,49.0,5.0
苏州,37.0,13.0,24.0,0.52,12.0,115.0,63.0,4.0
松原,30.0,13.0,29.0,0.7,7.0,44.0,23.0,2.0
绥化,17.0,4.0,16.0,0.6,8.0,37.0,22.0,5.0
秦皇岛,24.0,5.0,7.0,0.2,5.0,44.0,47.0,5.0
太原,34.0,11.0,33.0,0.48,10.0,107.0,55.0,6.0
泰州,33.0,9.0,20.0,0.63,12.0,85.0,65.0,4.0
塔城地区,40.0,18.0,39.0,1.2,3.0,86.0,64.0,3.0
天津,52.0,33.0,52.0,0.87,27.0,73.0,50.0,20.0
泰安,14.0,2.0,7.0,0.2,11.0,33.0,26.0,6.0
天水,29.0,8.0,24.0,0.4,18.0,90.0,53.0,9.0
铁岭,15.0,4.0,6.0,0.23,8.0,33.0,28.0,6.0
台州,41.0,27.0,40.0,0.27,10.0,109.0,49.0,4.0
铜川,33.0,7.0,19.0,0.5,6.0,102.0,54.0,5.0
乳山,32.0,4.0,14.0,0.7,7.0,76.0,63.0,6.0
吐鲁番地区,72.0,19.0,92.0,0.65,13.0,89.0,78.0,6.0
铜仁地区,24.0,4.0,23.0,0.7,33.0,75.0,30.0,2.0
潍坊,17.0,6.0,10.0,0.2,10.0,34.0,33.0,4.0
通化,19.0,11.0,18.0,0.35,13.0,26.0,17.0,4.0
三亚,17.0,5.0,14.0,0.4,0.0,49.0,32.0,3.0
通辽,21.0,11.0,20.0,0.45,6.0,35.0,36.0,4.0
文登,28.0,7.0,14.0,0.6,9.0,55.0,55.0,5.0
瓦房店,19.0,8.0,17.0,0.7,5.0,39.0,36.0,4.0
温州,38.0,18.0,37.0,0.43,14.0,100.0,29.0,5.0
铜陵,29.0,11.0,27.0,0.35,12.0,90.0,44.0,10.0
文山州,75.0,54.0,75.0,0.65,14.0,65.0,33.0,14.0
吴江,39.0,14.0,30.0,0.85,14.0,124.0,76.0,6.0
威海,32.0,6.0,11.0,0.37,3.0,66.0,62.0,4.0
唐山,20.0,6.0,19.0,1.15,17.0,36.0,32.0,13.0
芜湖,35.0,6.0,18.0,0.6,11.0,87.0,68.0,5.0
五家渠,65.0,26.0,78.0,0.9,57.0,28.0,9.0,10.0
太仓,43.0,10.0,23.0,0.45,14.0,136.0,71.0,9.0
乌鲁木齐,61.0,22.0,70.0,0.86,34.0,67.0,40.0,9.0
武汉,39.0,15.0,32.0,0.82,24.0,116.0,77.0,6.0
乌海,42.0,13.0,41.0,1.0,18.0,127.0,48.0,24.0
武威,49.0,13.0,48.0,0.4,17.0,102.0,42.0,6.0
梧州,38.0,22.0,37.0,0.75,8.0,74.0,31.0,9.0
无锡,38.0,8.0,23.0,0.75,11.0,119.0,75.0,5.0
襄阳,46.0,17.0,45.0,0.7,28.0,98.0,43.0,13.0
西安,52.0,16.0,51.0,0.5,26.0,90.0,36.0,7.0
乌兰察布,38.0,10.0,13.0,0.3,4.0,93.0,74.0,8.0
湘西州,37.0,18.0,36.0,0.87,13.0,76.0,23.0,9.0
河源,31.0,11.0,30.0,0.85,14.0,85.0,36.0,8.0
孝感,46.0,27.0,45.0,0.65,9.0,122.0,82.0,5.0
渭南,56.0,14.0,59.0,0.55,24.0,88.0,39.0,8.0
锡林郭勒盟,22.0,6.0,19.0,0.25,7.0,66.0,42.0,12.0
西宁,50.0,24.0,49.0,0.9,24.0,98.0,56.0,27.0
兴安盟,28.0,19.0,20.0,0.3,6.0,58.0,38.0,4.0
新余,58.0,34.0,64.0,1.05,15.0,117.0,46.0,20.0
寿光,21.0,1.0,3.0,0.25,3.0,46.0,40.0,7.0
西双版纳州,12.0,5.0,11.0,0.6,6.0,36.0,12.0,3.0
忻州,34.0,10.0,27.0,0.53,12.0,105.0,62.0,7.0
邢台,25.0,8.0,24.0,0.88,28.0,55.0,47.0,4.0
吴忠,34.0,7.0,21.0,0.47,11.0,108.0,56.0,18.0
宣城,31.0,15.0,24.0,0.63,8.0,97.0,55.0,5.0
雅安,38.0,24.0,37.0,0.48,14.0,92.0,70.0,10.0
延边州,22.0,4.0,9.0,0.6,12.0,41.0,42.0,6.0
盐城,33.0,12.0,26.0,0.5,10.0,58.0,65.0,6.0
徐州,21.0,7.0,11.0,0.34,8.0,39.0,40.0,4.0
阳江,38.0,10.0,37.0,0.6,8.0,77.0,50.0,7.0
阳泉,35.0,18.0,29.0,0.45,13.0,110.0,44.0,6.0
延安,29.0,6.0,24.0,0.38,17.0,91.0,27.0,4.0
烟台,27.0,3.0,9.0,0.48,7.0,60.0,52.0,5.0
扬州,48.0,15.0,47.0,0.43,21.0,68.0,62.0,6.0
新乡,55.0,23.0,58.0,0.88,19.0,48.0,25.0,13.0
宜昌,39.0,10.0,38.0,0.56,21.0,78.0,43.0,3.0
湘潭,54.0,28.0,55.0,1.47,29.0,124.0,84.0,19.0
宜宾,46.0,20.0,45.0,0.55,21.0,127.0,59.0,7.0
伊犁哈萨克,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊犁哈萨克州,48.0,24.0,47.0,0.63,21.0,74.0,60.0,14.0
鹰潭,42.0,28.0,41.0,0.4,9.0,115.0,49.0,8.0
许昌,37.0,25.0,36.0,1.0,20.0,64.0,45.0,7.0
义乌,53.0,35.0,54.0,0.6,19.0,114.0,51.0,12.0
伊春,7.0,3.0,5.0,0.4,3.0,19.0,12.0,4.0
银川,36.0,14.0,35.0,0.56,14.0,92.0,54.0,25.0
永州,33.0,18.0,29.0,0.4,11.0,103.0,56.0,5.0
岳阳,44.0,15.0,20.0,0.8,7.0,109.0,87.0,5.0
宜兴,43.0,14.0,37.0,1.4,9.0,114.0,84.0,6.0
玉林,51.0,26.0,50.0,0.57,8.0,72.0,37.0,15.0
宜春,58.0,31.0,63.0,0.81,13.0,115.0,62.0,13.0
榆林,52.0,21.0,51.0,0.97,37.0,58.0,30.0,23.0
益阳,45.0,5.0,14.0,0.83,6.0,123.0,89.0,4.0
运城,43.0,17.0,42.0,0.82,10.0,103.0,54.0,10.0
咸阳,62.0,20.0,71.0,0.76,23.0,86.0,32.0,6.0
云浮,35.0,16.0,34.0,0.67,16.0,64.0,41.0,22.0
玉溪,50.0,19.0,49.0,1.15,20.0,84.0,38.0,8.0
张家口,40.0,9.0,18.0,0.34,5.0,94.0,78.0,5.0
枣庄,19.0,7.0,18.0,0.28,7.0,37.0,36.0,9.0
张家界,25.0,7.0,23.0,0.65,13.0,77.0,49.0,4.0
张家港,38.0,11.0,28.0,0.6,11.0,119.0,66.0,7.0
章丘,23.0,6.0,7.0,2.05,11.0,42.0,44.0,12.0
昭通,90.0,24.0,127.0,0.6,20.0,102.0,42.0,34.0
漳州,56.0,25.0,60.0,0.62,17.0,74.0,41.0,8.0
招远,24.0,4.0,5.0,0.0,9.0,53.0,47.0,7.0
玉树州,31.0,6.0,30.0,0.2,6.0,80.0,46.0,5.0
肇庆,34.0,15.0,33.0,0.63,13.0,77.0,36.0,8.0
镇江,32.0,6.0,16.0,0.4,6.0,77.0,63.0,5.0
张掖,33.0,9.0,29.0,0.25,22.0,66.0,64.0,6.0
中山,31.0,18.0,30.0,0.6,10.0,97.0,54.0,5.0
中卫,50.0,26.0,49.0,1.03,25.0,111.0,73.0,48.0
舟山,28.0,18.0,26.0,0.5,42.0,81.0,54.0,4.0
诸暨,39.0,27.0,36.0,0.7,11.0,121.0,48.0,3.0
驻马店,32.0,7.0,17.0,0.37,10.0,99.0,54.0,4.0
营口,19.0,11.0,15.0,1.13,19.0,33.0,36.0,4.0
株洲,54.0,31.0,55.0,0.7,16.0,122.0,62.0,9.0
周口,26.0,8.0,19.0,0.63,10.0,69.0,51.0,5.0
遵义,60.0,21.0,67.0,0.8,48.0,70.0,38.0,16.0
郑州,50.0,33.0,49.0,0.9,39.0,49.0,28.0,2.0
自贡,66.0,33.0,79.0,0.7,58.0,114.0,46.0,14.0
厦门,43.0,29.0,42.0,0.7,18.0,80.0,36.0,5.0
湛江,23.0,10.0,22.0,0.43,6.0,54.0,36.0,5.0
信阳,37.0,11.0,18.0,0.23,5.0,116.0,66.0,7.0
珠海,26.0,13.0,20.0,0.53,5.0,75.0,50.0,4.0
资阳,51.0,18.0,50.0,0.68,39.0,128.0,38.0,14.0
淄博,23.0,4.0,6.0,0.32,24.0,41.0,45.0,7.0
咸宁,43.0,21.0,42.0,1.02,4.0,120.0,83.0,4.0
